songTitle,artistName,releaseYear,popularity
'39,['Queen'],1975,39
'39 - 2011 Mix,['Queen'],1975,50
"'39 - Live At Earl’s Court, London / June 1977",['Queen'],1975,31
'57 Chevrolet,['Billie Jo Spears'],1987,42
'65 Love Affair,['Paul Davis'],1979,42
'65 Love Affair - Single Version,['Paul Davis'],1982,36
'74-'75,['The Connells'],1993,64
'75 aka Stay With You,['Lemon Jelly'],2005,51
'97 Bonnie & Clyde,['Eminem'],1999,48
'A discoteca - Instrument and base Version,['Orchestra Studio 7'],1942,0
'A discoteca - Musical base Version,['Orchestra Studio 7'],1942,0
'A luciana - Instrument and base Version,['Orchestra Studio 7'],1942,0
'A luciana - Musical base Version,['Orchestra Studio 7'],1942,0
'A rossa - Instrument and base Version,['Orchestra Studio 7'],1942,0
'A rossa - Musical base Version,['Orchestra Studio 7'],1942,0
'A serenata 'e pulecenella - Instrument and base Version,['Orchestra Studio 7'],1942,0
'A serenata 'e pulecenella - Musical base Version,['Orchestra Studio 7'],1942,0
'A sunnambula - Instrument and base Version,['Orchestra Studio 7'],1942,0
'A sunnambula - Musical base Version,['Orchestra Studio 7'],1942,0
'A tazza 'e cafè - Musical base Version,['Orchestra Studio 7'],1942,0
'A vucchella,"['Francesco Paolo Tosti', 'Mario Lanza', 'Constantine Callinicos']",1949,23
'A' Bomb In Wardour Street,['The Jam'],1978,36
'Ama'ama,[Israel Kamakawiwo'ole],1993,35
"'B' Movie (Intro, Poem, Song)",['Gil Scott-Heron'],1981,38
'Bout It (feat. Daniel James & Benjamin O),"['Jeremy Zucker', 'Daniel James ', 'Benjamin O']",2015,54
'Bout Time,['Louis Armstrong'],1968,22
'Buked and Scorned,['Odetta'],1956,7
'Cause Cheap Is How I Feel,['Cowboy Junkies'],1990,30
'Cause I Feel Lowdown,['Sophie Tucker'],1925,0
'Cause I Love You,['Johnny Cash'],1970,27
'Cause I Love You - Instrumental,['Johnny Cash'],1970,25
'Cause I'm A Man,['Tame Impala'],2015,65
'Cross the Brazos at Waco,['Billy Walker'],1954,34
'Cross the Breeze (Album Version),['Sonic Youth'],1988,33
'Deed I Do,['Blossom Dearie'],1957,52
'E spingule francese - Musical base Version,['Orchestra Studio 7'],1942,0
'Flawless' Do It Well Pt. 3 (feat. Summer Walker),"['dvsn', 'Summer Walker']",2020,65
'Freedom'/The Execution Bannockburn,"['James Horner', 'London Symphony Orchestra']",1995,46
'Helden' - German Version 1989 Remix; 2002 Remaster,['David Bowie'],1977,49
'Héros' - French Single Version; 2007 Remaster,['David Bowie'],1977,37
'Imi Au Iā ʻOe,['Keola Beamer'],1997,45
'Long As You Know You're Living Yours,"['Keith Jarrett', 'Jan Garbarek', 'Palle Danielsson', 'Jon Christensen']",1974,38
'Mbilta Solo (Eritrea),"['Mbilta players from Gura Valley, Eritrea']",1951,0
'Merican,['Descendents'],2004,53
'Na sera 'e maggio - Instrument and base Version,['Orchestra Studio 7'],1942,0
'Na sera 'e maggio - Musical base Version,['Orchestra Studio 7'],1942,0
'O Sole Mio (My Sunshine),['Vic Damone'],1959,10
'O sole mio,"['Luciano Pavarotti', 'National Philharmonic Orchestra', 'Giancarlo Chiaramello']",1997,56
'O sole mio - Instrument and base Version,['Orchestra Studio 7'],1942,0
'O sole mio - Musical base Version,['Orchestra Studio 7'],1942,0
'O sole mio - it's now or never - Instrument and base Version,['Orchestra Studio 7'],1942,0
'O sole mio - it's now or never - Musical base Version,['Orchestra Studio 7'],1942,0
'O surdato 'nnammurato,['Claudio Villa'],1942,0
'O surdato 'nnammurato - Instrument and base Version,['Orchestra Studio 7'],1942,0
'O surdato 'nnammurato - Musical base Version,['Orchestra Studio 7'],1942,0
'O zampugnaro 'nnammurato - Instrument and base Version,['Orchestra Studio 7'],1942,0
'Round About Midnight,['The Modern Jazz Quartet'],1954,13
'Round About Midnight - Rudy Van Gelder Edition/24-Bit Mastering/2002 Digital Remaster,['Grant Green'],1961,30
'Round And 'Round (Merry Go 'Round Of Love),['Guy'],1988,25
'Round Midnight,"['Thelonious Monk', 'Gerry Mulligan', 'Wilbur Ware', 'Shadow Wilson']",1957,18
"'Round Midnight - Live At The Five Spot / July 9, 1958",['Thelonious Monk Quartet'],1958,19
"'Round Midnight - Live at the Newport Jazz Festival, Newport, RI - July 1955",['Miles Davis'],1957,27
'Round Midnight - Mono Version,['Miles Davis'],1957,10
'Round Midnight - Rudy Van Gelder Remaster,['Miles Davis'],1956,11
'S Nice,['Al Caiola'],1961,12
'S Wonderful,"['Gene Kelly', 'Georges Guétary']",1951,12
'S Wonderful - Alternate Version,"['Fred Astaire', 'Audrey Hepburn']",1957,13
'S Wonderful - Reprise; Outtake,['Gene Kelly'],1951,4
'S Wonderful - from Funny Face,['Ruby Braff & Coleman Hawkins'],1945,0
'S Wonderful / They Can't Take That Away From Me,"[Anita O'Day, 'Oscar Peterson Quartet']",1957,36
"'Scuse Me, Miss Rose",['The West Coast Pop Art Experimental Band'],1967,21
'Sippi,['Louisiana Sugar Babes'],1926,8
'Song #3' - Instrumental,['Marvin Gaye'],1973,28
'Sons Of Scotland' - From “Braveheart” Soundtrack,"['James Horner', 'London Symphony Orchestra']",1995,40
'Tain't Nobody's Biz-Ness If I Do,['Fats Waller'],1926,6
'Tain't Nobody's Bizness If I Do,['Bessie Smith'],1923,29
"'Tain't So, Honey, 'Tain't So",['Paul Whiteman'],1928,0
'Tain't What You Do (It's The Way That Cha Do It),['Jimmie Lunceford & His Orchestra'],1937,3
'Tain't What You Do (It's The Way That You Do It),['Fats Waller'],1926,7
'Taint Nobody's Business If I Do - Rudy Van Gelder Edition / Remastered 2009,['Grant Green'],1961,10
'Til I Can Make It On My Own,"['Kenny Rogers', 'Dottie West']",1979,35
'Til I Can Make It On My Own - Single Version,['Tammy Wynette'],1964,23
'Til I Die - Remastered 2009,['The Beach Boys'],1971,44
'Til I Find You,['Dean Martin'],1954,10
'Til I'm Laid To Rest,['Buju Banton'],1995,40
'Til My Baby Comes Home,['Luther Vandross'],1985,29
'Til My Back Ain't Got No Bone,['Albert King'],1973,28
'Til Summer Comes Around,['Keith Urban'],2009,42
'Til The Money Runs Out,['Tom Waits'],1980,28
'Til They Take My Heart Away,['Clair Marlo'],1989,55
'Til Tomorrow,['Marvin Gaye'],1982,31
'Til We Die,['Slipknot'],2008,51
'Til You Do Me Right,['After 7'],1997,38
'Til a Tear Becomes a Rose,"['Lorrie Morgan', 'Keith Whitley']",1990,35
'Til the Pigs Come Round,['Subhumans'],1983,26
'Till Forever,['Labi Siffre'],1972,23
'Till I Collapse,"['Eminem', 'Nate Dogg']",2002,83
'Till I Get There,['Lupe Fiasco'],2011,46
'Till The Rivers All Run Dry,['Don Williams'],1976,27
'Tis Autumn,['Les Brown'],1945,3
'Tis Harry I'm Plannin' to Marry (From Calamity Jane),['Doris Day with Orchestra & Vocal Quartet'],1953,26
'Tis So Sweet To Trust In Jesus,['Alan Jackson'],2006,41
'Tis Sweet to Be Remembered,['Flatt & Scruggs'],1951,5
'Twas The Night Before Christmas,"['Fred Waring', 'The Pennsylvanians']",1963,9
'Ulupalakua,"['Hui Ohana', 'Ledward Kaapana', Nedward Ka'apana, 'Dennis Pavao']",1972,36
'e spingule francese - Instrument and base Version,['Orchestra Studio 7'],1942,0
't Kapelke,['Harry Bordon'],1954,5
'Úwi,['Hanunóo workers'],1953,0
( What A) Wonderful World,[Herman's Hermits],1966,25
('Til) I Kissed You,['The Everly Brothers'],1964,54
(-) Ions,['TOOL'],1996,46
(A Place To) Hide Away,['Carpenters'],1971,29
(Ain't Nothin' but A) House Party,['The J. Geils Band'],1973,24
(Ain't Nothin' but A) House Party - Live,['The J. Geils Band'],1976,23
(Ain't That) Good News,['Sam Cooke'],1960,13
(All En) El Rancho Grande,['Dean Martin'],1962,16
"(Anesthesia) - Pulling Teeth (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",['Metallica'],1986,22
"(Anesthesia) – Pulling Teeth (Live at The Hollywood Palladium, Los Angeles, CA – March 10th, 1985)",['Metallica'],1984,27
(Anesthesia)--Pulling Teeth (Remastered),['Metallica'],1983,32
(At Your Best) You Are Love,['The Isley Brothers'],1976,43
(BALLAD OF) THE HIP DEATH GODDESS,['Ultimate Spinach'],1968,40
(Bonus) Itchin,['Future'],2012,46
(Can You) Feel It,['James Brown & The Famous Flames'],1963,16
(Can't Get My) Head Around You,['The Offspring'],2003,54
(Can't Live Without Your) Love And Affection - Remastered 2017,['Nelson'],1990,48
(Can't You) Trip Like I Do,"['Filter', 'The Crystal Method']",1999,43
(Coffee's For Closers),['Fall Out Boy'],2008,46
(Come 'Round Here) I'm The One You Need,['The Jackson 5'],1970,19
(Cross The) Heartland,['Pat Metheny Group'],1979,31
(Da Le) Yaleo,['Santana'],1999,42
(Dance With The) Guitar Man,['Duane Eddy'],1962,29
(Darling Now) You're Here So Everything's Alright - 1951 Version,['Lefty Frizzell'],1951,1
(Darling Now) You're Here So Everything's Alright - 1952 Version,['Lefty Frizzell'],1951,0
(David Bowie I Love You) Since I Was Six,['The Brian Jonestown Massacre'],2008,47
(Dawning of A) New Era - 2015 Remaster,['The Specials'],1979,33
(Dee Dee) Be My Girl,['Dee Dee Sharp'],1962,13
(Do Not) Stand In The Shadows,['Billy Idol'],1983,34
(Do The) Instant Mash,['Joe Jackson'],1979,26
(Do The) Push And Pull - Pt. 1,['Rufus Thomas'],2003,43
(Do You Love Me) Just Say Yes,['Highway 101'],1988,29
(Don't Fear) The Reaper,['Blue Öyster Cult'],1976,76
(Don't Fear) The Reaper - Single Version,['Blue Öyster Cult'],2008,52
(Don't Go Back To) Rockville,['R.E.M.'],1984,32
"(Don't Worry) If There Is a Hell Below, We're All Going to Go",['Curtis Mayfield'],1970,51
"(Don't Worry) If There's a Hell Below We're All Going to Go - Backing Track, Take 1 & 2",['Curtis Mayfield'],1970,25
(Don't Worry) If There's a Hell Below We're All Going to Go - Single Version,['Curtis Mayfield'],1970,27
(Down at) Papa Joe's,['Dixie Belles'],1963,13
(En) El Séptimo Día - Remasterizado 2007,['Soda Stereo'],1990,51
(Every Night Is) Date Night In Hawaii,['Annette Funicello'],1960,12
(Every Time I Turn Around) Back In Love Again,['L.T.D.'],1977,45
(Everybody Wanna Get Rich) Rite Away,['Dr. John'],1974,53
(Everything I Do) I Do It For You,['Bryan Adams'],1991,34
(Everything I Do) I Do It For You - 2017 Ultimate Edit,['Bryan Adams'],2020,0
(Feels Like) Heaven,['Fiction Factory'],1984,45
(Feels Like) Heaven - Extended Version,['Fiction Factory'],1984,34
(Find A) Reason To Believe,['Rod Stewart'],1971,49
(Flesh & Blood) Sacrifice - 2006 Remaster,['Poison'],1990,35
